,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
0,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,4,200,36.126,50,-4.65,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
1,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,4,400,22.253,50,-33.33,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
2,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,4,500,19.643,50,-31.3,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
3,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,1,91.262,189.25,-16.95,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
4,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,3,87.5,444.9,29.45,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
5,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,10,81.553,47.5,-20.165,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
6,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,30,52.306,552,-37.9,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
7,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,100,30.097,63.6,-5.85,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
8,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,1,108.01,12.5,-7.455,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
9,143B,MTT,Au,original,Human,Human,mix,bone,osteosarcoma,72,3,107.14,12.5,-7.455,0,2.54,1.692,1.35,11,196.967,0,0,0,-0.0025,2.46797672,0,0,0.74025974,1.74025974
