,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
0,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,25,70,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
1,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,50,60,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
2,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,100,22,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
3,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24,200,15,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
4,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,25,60,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
5,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,50,48,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
6,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,100,20,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
7,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48,200,10,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
8,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,25,55,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
9,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,50,40,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
10,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,100,18,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
11,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72,200,5,8.14,6,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
136,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,20,100,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
137,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,40,60,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
138,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,60,55,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
139,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,24,80,20,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
140,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,20,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
141,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,40,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
142,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,60,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
143,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,48,80,10,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
144,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,72,20,8,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
145,HeLa,MTT,Ag,additional,Human,Human,epithelial,uterus,Adenocarcinoma,72,40,8,9.24,-7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
