,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
12,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,25,60.133,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
13,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,50,49.169,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
14,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,100,39.092,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
15,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48,5,93.245,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
16,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48,10,60.908,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
17,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48,25,47.841,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
18,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48,50,37.874,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
19,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,48,100,26.91,52,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
20,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,5,101.65,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
21,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,10,82.234,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
22,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,25,71.827,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
23,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,50,59.518,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
24,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,100,39.848,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
25,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,5,97.387,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
26,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,10,95.873,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
27,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,25,92.71,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
28,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,50,85.282,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
29,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,100,81.568,21.6,25.3,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
30,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,1,94.911,22,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
31,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,2,80.407,22,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
32,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,5,79.262,22,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
33,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,10,58.779,22,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
34,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,25,43.13,22,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
35,HaCat,AlamarBlue,Ag,original,Human,Human,keratinocyte,skin,Normal,24,50,20.229,22,71.7,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
36,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,24,5,97.86,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
37,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,24,20,84.241,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
38,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,24,30,56.42,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
39,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,24,40,19.844,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
40,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,24,50,4.2802,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
41,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,24,100,3.3074,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
42,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,48,0.5,104.67,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
43,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,48,1,101.36,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
44,HaCat,NRU,Ag,original,Human,Human,keratinocyte,skin,Normal,48,5,65.564,30,-29.1,0,1.93,0.7996,1.6,11,107.868,0,0,0,-0.0025,1.78376517,0,0,0.74025974,1.74025974
