,cell line,test,material,source,organism,cell type,morphology,tissue,disease,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV),mcd,electronegativity,rox,radii,Valance_electron,amw,lipinskiHBA,lipinskiHBD,NumRotatableBonds,CrippenClogP,chi0v,chi1v,chi2v,hallKierAlpha,kappa1
0,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24.0,25.0,70.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
1,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24.0,50.0,60.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
2,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24.0,100.0,22.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
3,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,24.0,200.0,15.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
4,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48.0,25.0,60.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
5,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48.0,50.0,48.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
6,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48.0,100.0,20.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
7,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,48.0,200.0,10.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
8,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72.0,25.0,55.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
9,HaCat,MTT,Ag,additional,Human,Human,keratinocyte,skin,Normal,72.0,50.0,40.0,8.14,6.0,0.0,1.93,0.7996,1.6,11.0,107.868,0.0,0.0,0.0,-0.0025,1.7837651700316897,0.0,0.0,0.7402597402597404,1.7402597402597404
