generations,Population size = 100,Population size = 50,Population size = 10,mean of pop 10,mean_of pop 50,mean_of pop 100
1,12.90137713,11.7271026,12.0006823,0.954494793,1.407615931,1.759899218
2,14.86835291,12.98757182,12.0006823,4.586251411,2.080006284,1.998545037
3,18.10863584,15.64246975,13.09185979,8.453652762,3.62807479,3.442720195
4,18.59787409,17.94500546,13.61868892,10.13376204,4.569431733,4.008418241
5,20.83617389,17.94500546,15.42380016,10.80250628,4.873066081,4.27682453
6,20.83617389,18.15391432,17.7361874,12.12890253,4.877501854,4.783488157
7,21.55163469,18.15391432,17.7361874,11.89783716,4.878898158,4.87231451
8,21.55163469,18.15391432,17.7361874,12.32715379,4.824063797,5.046865061
9,21.70434143,18.26295766,17.7361874,10.98570055,5.041581595,4.966857142
10,21.77645151,18.95558529,17.7361874,11.92882352,5.195956641,5.08649915
11,22.6073545,20.85672353,17.7361874,13.08709022,5.364798522,5.256279759
12,22.6073545,20.85672353,18.09792772,12.29812175,5.538864159,5.164502497
13,22.6073545,20.92234083,18.09792772,12.81934101,5.25385849,5.099990838
14,23.9314797,21.43320642,18.36519656,14.61453587,5.540478783,5.113823307
15,23.9314797,21.43320642,18.36519656,13.98700123,5.894316832,5.375766264
16,24.40035428,21.43320642,18.36519656,14.74342865,6.003012689,5.073369311
17,24.40035428,21.43320642,18.41315018,15.21979152,5.904158043,5.413928775
18,24.40035428,21.43320642,19.56090064,16.34564157,6.284068203,5.544841177
19,24.40035428,23.00907979,19.56090064,15.88531226,6.178086379,5.716341553
20,25.05454428,23.16022069,19.56090064,15.5665252,6.145737648,5.712125355
21,25.38263854,23.42267086,19.56090064,15.39609398,6.016732185,5.522197625
22,26.03233863,23.42267086,19.56090064,14.99686345,6.469848071,5.539298848
23,26.03233863,23.42267086,19.56090064,14.0271314,6.128482303,5.377146973
24,26.03233863,23.42267086,19.56090064,13.63361694,6.064390697,5.469009894
25,26.03233863,23.42267086,19.92910568,15.21076399,6.552542728,5.702174945
26,26.03233863,23.42267086,21.35649218,14.57334355,6.55204382,5.451299331
27,27.73988173,23.42267086,21.35649218,13.04903945,6.917205325,5.767831139
28,27.73988173,23.42267086,21.54725263,13.43661249,6.567844098,5.511187451
29,27.73988173,23.42267086,21.54725263,14.36069398,6.804926502,5.640901563
30,27.73988173,23.42267086,21.54725263,15.1006885,6.585720609,5.903274915
31,27.73988173,23.42267086,21.54725263,14.58189758,6.656974785,5.642023201
32,27.73988173,23.42267086,21.54725263,14.39859228,7.22595916,5.553776574
33,27.73988173,25.81425962,21.54725263,14.59574296,6.739887658,5.771369402
34,28.3562214,25.81425962,21.54725263,14.33044002,6.443942577,5.876985307
35,28.3562214,25.81425962,21.99450938,15.07891831,6.493678561,5.759312881
36,28.3562214,25.81425962,22.0063494,15.93829322,6.755723128,5.761900297
37,28.3562214,25.81425962,22.0063494,15.58408805,6.461356792,5.570423884
38,28.3562214,25.81425962,22.0063494,14.60522313,6.849995511,5.764921932
39,28.3562214,27.0318604,22.0063494,14.80061667,6.96908657,5.629334715
40,28.3562214,27.0318604,22.0063494,14.49642257,6.887404753,5.932605301
41,28.3562214,27.0318604,22.0063494,14.75973462,6.577865596,5.822064399
42,28.72818591,27.0318604,22.0063494,13.77206741,6.847509223,5.867734737
43,28.72818591,27.0318604,22.0063494,14.61374293,7.083139123,5.827918135
44,28.72818591,27.0318604,22.0063494,13.88557773,7.288579581,5.931917994
45,28.72818591,27.0318604,22.0063494,14.83573726,6.939066439,5.642321247
46,28.72818591,27.0318604,22.0063494,14.72009716,6.987841822,5.930212889
47,28.72818591,27.0318604,22.0063494,16.66087531,7.059015707,5.764628304
48,28.72818591,27.0318604,22.66705323,16.50934152,7.109820797,5.998413079
49,28.72818591,27.0318604,22.66705323,16.57210428,7.305123781,6.253222466
50,28.72818591,27.0318604,22.66705323,16.48817119,6.912378275,6.12030497
51,28.72818591,27.41999558,22.66705323,15.67783312,7.095968537,6.229840376
52,28.72818591,27.41999558,22.66705323,14.36086611,7.386529325,6.596256456
53,28.72818591,27.41999558,22.66705323,14.2773514,7.161257425,6.314643724
54,28.72818591,27.41999558,23.51561279,15.29454381,7.216888307,6.450065409
55,28.72818591,27.41999558,23.51561279,15.08103865,6.964114907,6.363565228
56,28.72818591,27.41999558,23.51561279,14.01210454,6.859237555,6.297897757
57,28.72818591,27.41999558,23.51561279,14.87614135,6.658372534,6.373544744
58,28.72818591,27.41999558,23.51561279,15.14198336,7.297126472,6.343673851
59,28.72818591,27.41999558,23.51561279,15.2829971,6.718390644,6.472631033
60,28.72818591,27.41999558,23.51561279,15.32472752,6.470083299,6.379883755
61,28.72818591,27.41999558,23.51561279,15.78087575,6.641336329,6.699622531
62,28.72818591,27.41999558,23.51561279,15.80178805,6.507529595,6.461829807
63,28.72818591,27.41999558,23.51561279,16.30571567,6.499346616,6.46181031
64,28.72818591,27.41999558,23.51561279,16.08560599,6.616743122,6.369593081
65,28.72818591,27.41999558,23.88515976,15.95393426,6.707992127,6.648901734
66,28.72818591,27.41999558,23.88515976,16.45112638,6.86090338,6.552753484
67,28.72818591,27.41999558,23.88515976,16.62464133,7.225146756,6.639971236
68,28.72818591,27.41999558,23.88515976,16.45517245,6.888048007,6.67747291
69,28.72818591,27.41999558,23.88515976,17.21265144,7.291198583,6.541412195
70,28.72818591,27.41999558,23.88515976,17.56832838,7.391069067,6.365639689
71,28.72818591,27.41999558,23.88515976,17.42509667,7.085849322,6.298472889
72,28.72818591,27.41999558,23.88515976,18.29636181,7.339035963,6.521730361
73,28.72818591,27.41999558,23.88515976,17.31764919,7.020538314,6.560135544
74,28.72818591,28.52137422,23.88515976,17.47125045,7.236210294,6.702345174
75,28.72818591,28.52137422,24.37295769,17.72221695,7.156545465,6.680959754
76,28.72818591,28.52137422,24.37295769,18.04876554,7.011766365,6.691873141
77,28.72818591,28.52137422,24.37295769,18.07098218,7.437210952,6.767612487
78,28.72818591,28.52137422,24.37295769,18.00352702,7.578689109,6.417211071
79,28.72818591,28.52137422,24.37295769,18.16632845,7.82632259,6.58163157
80,28.72818591,28.52137422,24.37295769,18.63158449,7.641754098,6.286224066
